"Isolate","Pool","Origin","Geographic Origin"
"CH3648","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"CH5591","clin_iso_SQ_pool10","Charité Berlin","Berlin"
"PSAE1645","clin_iso_SQ_pool10","Munich","Munich"
"PSAE2127","clin_iso_SQ_pool10","Hungary","Hungary"
"PSAE1745","clin_iso_SQ_pool10","Munich","Munich"
"ZG314738","clin_iso_SQ_pool10","Görlitz","Görlitz"
"ZG314777","clin_iso_SQ_pool10","Görlitz","Görlitz"
"MHH16727","clin_iso_SQ_pool10","Hannover Medical School","Hanover"
"ZG316694","clin_iso_SQ_pool10","Görlitz","Görlitz"
"MHH16798","clin_iso_SQ_pool10","Hannover Medical School","Hanover"
"MHH14911","clin_iso_SQ_pool10","Hannover Medical School","Hanover"
"PSAE1903","clin_iso_SQ_pool10","Gera","Gera"
"MHH16842","clin_iso_SQ_pool10","Hannover Medical School","Hanover"
"ZG316704","clin_iso_SQ_pool10","Görlitz","Görlitz"
"ZG316716","clin_iso_SQ_pool10","Görlitz","Görlitz"
"PSAE1984","clin_iso_SQ_pool10","Bremen","Bremen"
"PSAE1872","clin_iso_SQ_pool10","Berlin","Berlin"
"PSAE1439","clin_iso_SQ_pool10","Stuttgart","Stuttgart"
"MHH17783","clin_iso_SQ_pool10","Hannover Medical School","Hanover"
"PSAE1630","clin_iso_SQ_pool10","Gera","Gera"
"MHH15286","clin_iso_SQ_pool10","Hannover Medical School","Hanover"
"MHH17767","clin_iso_SQ_pool10","Hannover Medical School","Hanover"
"ZG316717","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG316722","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG222267","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG301975","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG205710","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG205694","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG205565","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG302367","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG302359","clin_iso_SQ_pool11","Görlitz","Görlitz"
"CH5597","clin_iso_SQ_pool11","Charité Berlin","Berlin"
"ZG302368","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG302383","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG302442","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG302432","clin_iso_SQ_pool11","Görlitz","Görlitz"
"ZG302431","clin_iso_SQ_pool11","Görlitz","Görlitz"
"MS1","clin_iso_SQ_pool11","University hospital Münster","Münster"
"MS2","clin_iso_SQ_pool11","University hospital Münster","Münster"
"MS5","clin_iso_SQ_pool11","University hospital Münster","Münster"
"MHH0147","clin_iso_SQ_pool11","Hannover Medical School","Hanover"
"MHH0426","clin_iso_SQ_pool11","Hannover Medical School","Hanover"
"MHH0927","clin_iso_SQ_pool11","Hannover Medical School","Hanover"
"MHH0985","clin_iso_SQ_pool11","Hannover Medical School","Hanover"
"F2030","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2034","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2035","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2040","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2044","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"MHH1525","clin_iso_SQ_pool12","Hannover Medical School","Hanover"
"MHH2419","clin_iso_SQ_pool12","Hannover Medical School","Hanover"
"MHH1883","clin_iso_SQ_pool12","Hannover Medical School","Hanover"
"F2045","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2054","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2055","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2056","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2059","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2063","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2064","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2065","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2073","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F2075","clin_iso_SQ_pool12","University hospital Frankfurt","Frankfurt"
"F1894","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F1957","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F1959","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"ZG302451","clin_iso_SQ_pool13","Görlitz","Görlitz"
"F1965","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F1968","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F1979","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F1983","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2000","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2003","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2005","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F1997","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2010","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"MHH14929","clin_iso_SQ_pool13","Hannover Medical School","Hanover"
"F2017","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2020","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2093","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2097","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2098","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2029","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2119","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2128","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2081","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"F2084","clin_iso_SQ_pool13","University hospital Frankfurt","Frankfurt"
"ZG205864","clin_iso_SQ_pool14","Görlitz","Görlitz"
"F2235","clin_iso_SQ_pool14","University hospital Frankfurt","Frankfurt"
"F2236","clin_iso_SQ_pool14","University hospital Frankfurt","Frankfurt"
"F2137","clin_iso_SQ_pool14","University hospital Frankfurt","Frankfurt"
"F2148","clin_iso_SQ_pool14","University hospital Frankfurt","Frankfurt"
"F2160","clin_iso_SQ_pool14","University hospital Frankfurt","Frankfurt"
"F2165","clin_iso_SQ_pool14","University hospital Frankfurt","Frankfurt"
"ZG302370","clin_iso_SQ_pool14","Görlitz","Görlitz"
"F2166","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2167","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2172","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2176","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2199","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2204","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2205","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2208","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2230","clin_iso_SQ_pool15","University hospital Frankfurt","Frankfurt"
"F2006","clin_iso_SQ_pool20","University hospital Frankfurt","Frankfurt"
"F2086","clin_iso_SQ_pool20","University hospital Frankfurt","Frankfurt"
"F2234","clin_iso_SQ_pool20","University hospital Frankfurt","Frankfurt"
"F2240","clin_iso_SQ_pool20","University hospital Frankfurt","Frankfurt"
"M70652746","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70656672","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70663247","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70640527","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70640096","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70641593","clin_iso_SQ_pool20","University hospital Münster","Münster"
"F2229","clin_iso_SQ_pool20","University hospital Frankfurt","Frankfurt"
"M70633611","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70635118","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70638412","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70646077","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70646050","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70647319","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70649365","clin_iso_SQ_pool20","University hospital Münster","Münster"
"M70604538","clin_iso_SQ_pool20","University hospital Münster","Münster"
"ESP018","clin_iso_SQ_pool20","University hospital Palma de Mallorca, Spain"
"ESP019","clin_iso_SQ_pool20","University hospital Palma de Mallorca, Spain"
"ESP020","clin_iso_SQ_pool20","University hospital Palma de Mallorca, Spain"
"ESP021","clin_iso_SQ_pool20","University hospital Palma de Mallorca, Spain"
"ESP022","clin_iso_SQ_pool20","University hospital Palma de Mallorca, Spain"
"ESP023","clin_iso_SQ_pool20","University hospital Palma de Mallorca, Spain"
"ESP024","clin_iso_SQ_pool20","University hospital Palma de Mallorca, Spain"
"F2224","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"M70639645","clin_iso_SQ_pool21","University hospital Münster","Münster"
"ESP025","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP026","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP027","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP028","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP029","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP030","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP031","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"F1659","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1747","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1748","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1752","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1758","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1760","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1763","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1787","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1789","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1810","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"F1853","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"ESP009","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP011","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP012","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP013","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"ESP015","clin_iso_SQ_pool21","University hospital Palma de Mallorca, Spain"
"F1823","clin_iso_SQ_pool21","University hospital Frankfurt","Frankfurt"
"ESP032","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP033","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
"ESP034","clin_iso_SQ_pool22","University hospital Palma de Mallorca, Spain"
